index,SMILES,new_SMILES
5876,CCCCCCCCCCCC[PH](C)(C)CC(P(=O)(O)O)P(=O)(O)O,CCCCCCCCCCCC[PH](C)(C)CC(P(=O)(O)O)P(=O)(O)O
5877,COC1=C2C[C@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
5878,O=C(CC(=O)Nc1cccc(C(=O)O)c1)NCCCNCc1ccc(-c2ccccc2)c(Cl)c1,O=C(CC(=O)Nc1cccc(C(=O)O)c1)NCCCNCc1ccc(-c2ccccc2)c(Cl)c1
5879,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2C[C@H](C)CCCCCCCCC(=O)N(C)[C@@H](C)C(=O)N2)c1,CC1CCCCCCCCC(=O)N(C)C(C)C(=O)NC(C(O)CNCc2cccc(C(C)C)c2)C1
5880,N[C@H](C(=O)O)[C@H](OCc1ccccc1)C(=O)O,NC(C(=O)O)C(OCc1ccccc1)C(=O)O
5881,CC(C)(C)C#Cc1ccccc1-c1ccc2nc(N)ccc2c1,CC(C)(C)C#Cc1ccccc1-c1ccc2nc(N)ccc2c1
5882,COc1ccccc1-c1ccc(C(=O)O)o1,COc1ccccc1-c1ccc(C(=O)O)o1
5883,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(N)=O,CC(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(C)C(=O)NC(C)C(N)=O
5884,OC[C@@H]1O[C@@H](OC[C@@H]2NC[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,OCC1OC(OCC2NCC(O)C2O)C(O)C1O
5885,O=C(O)Cc1csc2ccc3ccccc3c12,O=C(O)Cc1csc2ccc3ccccc3c12
5887,O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc21,O=c1ccc2c([nH]1)CCCC2NCCCCCCCCCCCCNC1CCCc2[nH]c(=O)ccc21
5888,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCC(=N)N)B(O)O,CC(=O)NC(Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(CCCCC(=N)N)B(O)O
5889,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccn2cccc2c1,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccn2cccc2c1
5890,Cc1nc(C)c(-c2cc([C@H](C)c3ccccc3)n[nH]2)s1,Cc1nc(C)c(-c2cc(C(C)c3ccccc3)n[nH]2)s1
5891,O=C(O)/C=C/C(=N/C(=O)c1cc(CNc2ccc(/C=C3\SC(=S)NC3=O)cc2)ccc1F)C(=O)O,O=C(O)C=CC(=NC(=O)c1cc(CNc2ccc(C=C3SC(=S)NC3=O)cc2)ccc1F)C(=O)O
